Video_ID,Channel_Name,Category,Upload_Date,Uploader
V1000,TechWorld,Fitness,2024-02-12,Channel_D
V1001,TravelVlogs,Music,2024-05-28,Channel_B
V1002,FoodieHub,Gaming,2024-02-01,Channel_A
V1003,GamingZone,Fitness,2024-06-01,Channel_B
V1004,TravelVlogs,Travel,2024-05-22,Channel_D
V1005,TechWorld,Gaming,2024-08-12,Channel_D
V1006,EduSmart,Travel,2024-06-22,Channel_C
V1007,FoodieHub,Fitness,2024-07-13,Channel_B
V1008,TechWorld,Gaming,2024-09-03,Channel_B
V1009,TechWorld,Technology,2024-03-05,Channel_C
V1010,GamingZone,Food,2024-02-14,Channel_A
V1011,MusicBeat,Travel,2024-03-23,Channel_B
V1012,TechWorld,Education,2024-02-10,Channel_B
V1013,MusicBeat,Technology,2024-10-06,Channel_D
V1014,MusicBeat,Music,2024-11-13,Channel_B
V1015,TechWorld,Education,2024-01-01,Channel_B
V1016,EduSmart,Fitness,2024-10-21,Channel_C
V1017,EduSmart,Travel,2024-11-16,Channel_B
V1018,FitnessPro,Fitness,2024-12-03,Channel_B
V1019,FitnessPro,Music,2024-11-11,Channel_A
V1020,TravelVlogs,Technology,2024-09-26,Channel_B
V1021,EduSmart,Travel,2024-08-18,Channel_B
V1022,GamingZone,Fitness,2024-05-08,Channel_C
V1023,MusicBeat,Technology,2024-08-16,Channel_A
V1024,FitnessPro,Travel,2024-06-20,Channel_C
V1025,MusicBeat,Fitness,2024-02-01,Channel_D
V1026,TechWorld,Fitness,2024-08-22,Channel_A
V1027,FitnessPro,Technology,2024-07-02,Channel_A
V1028,FoodieHub,Travel,2024-02-13,Channel_A
V1029,FitnessPro,Technology,2024-08-11,Channel_D
V1030,FitnessPro,Music,2024-01-22,Channel_C
V1031,TechWorld,Music,2024-05-18,Channel_C
V1032,EduSmart,Food,2024-09-24,Channel_A
V1033,TechWorld,Fitness,2024-03-23,Channel_A
V1034,TechWorld,Fitness,2024-08-26,Channel_A
V1035,EduSmart,Fitness,2024-10-12,Channel_D
V1036,FoodieHub,Music,2024-08-03,Channel_A
V1037,MusicBeat,Food,2024-06-11,Channel_C
V1038,GamingZone,Fitness,2024-10-22,Channel_C
V1039,TechWorld,Education,2024-06-04,Channel_A
V1040,TechWorld,Education,2024-07-11,Channel_C
V1041,FoodieHub,Fitness,2024-03-08,Channel_A
V1042,GamingZone,Technology,2024-07-02,Channel_A
V1043,MusicBeat,Fitness,2024-05-12,Channel_B
V1044,MusicBeat,Music,2024-07-24,Channel_A
V1045,FitnessPro,Fitness,2024-10-13,Channel_A
V1046,EduSmart,Education,2024-06-04,Channel_B
V1047,EduSmart,Fitness,2024-12-24,Channel_B
V1048,MusicBeat,Food,2024-06-22,Channel_A
V1049,FitnessPro,Food,2024-03-19,Channel_C
V1050,EduSmart,Music,2024-07-03,Channel_B
V1051,TravelVlogs,Music,2024-01-24,Channel_B
V1052,FitnessPro,Fitness,2024-02-08,Channel_B
V1053,GamingZone,Food,2024-06-09,Channel_D
V1054,EduSmart,Education,2024-01-22,Channel_D
V1055,TravelVlogs,Travel,2024-07-27,Channel_C
V1056,EduSmart,Travel,2024-10-27,Channel_A
V1057,TechWorld,Fitness,2024-03-08,Channel_D
V1058,TechWorld,Travel,2024-07-15,Channel_D
V1059,GamingZone,Fitness,2024-05-06,Channel_C
V1060,GamingZone,Education,2024-12-03,Channel_B
V1061,TechWorld,Music,2024-09-26,Channel_D
V1062,TravelVlogs,Gaming,2024-01-17,Channel_C
V1063,TravelVlogs,Gaming,2024-12-24,Channel_B
V1064,FoodieHub,Music,2024-11-12,Channel_B
V1065,TravelVlogs,Fitness,2024-08-13,Channel_B
V1066,GamingZone,Fitness,2024-09-03,Channel_C
V1067,FoodieHub,Food,2024-05-27,Channel_B
V1068,TravelVlogs,Technology,2024-10-01,Channel_B
V1069,TravelVlogs,Music,2024-09-21,Channel_C
V1070,TechWorld,Fitness,2024-11-09,Channel_D
V1071,GamingZone,Technology,2024-08-04,Channel_C
V1072,TravelVlogs,Fitness,2024-07-25,Channel_B
V1073,MusicBeat,Travel,2024-10-08,Channel_A
V1074,FitnessPro,Technology,2024-11-19,Channel_C
V1075,EduSmart,Technology,2024-03-14,Channel_A
V1076,TravelVlogs,Gaming,2024-12-12,Channel_D
V1077,EduSmart,Food,2024-08-08,Channel_B
V1078,FoodieHub,Technology,2024-04-13,Channel_B
V1079,FoodieHub,Technology,2024-10-23,Channel_C
V1080,FitnessPro,Music,2024-09-17,Channel_C
V1081,TechWorld,Food,2024-11-12,Channel_B
V1082,TravelVlogs,Travel,2024-08-18,Channel_A
V1083,FitnessPro,Fitness,2024-08-26,Channel_B
V1084,MusicBeat,Fitness,2024-08-24,Channel_D
V1085,EduSmart,Technology,2024-03-26,Channel_B
V1086,GamingZone,Music,2024-05-06,Channel_C
V1087,FoodieHub,Technology,2024-11-23,Channel_D
V1088,EduSmart,Travel,2024-11-22,Channel_A
V1089,FoodieHub,Technology,2024-12-02,Channel_C
V1090,FitnessPro,Technology,2024-02-25,Channel_C
V1091,EduSmart,Travel,2024-04-06,Channel_C
V1092,TravelVlogs,Travel,2024-12-27,Channel_D
V1093,TechWorld,Technology,2024-04-27,Channel_A
V1094,GamingZone,Technology,2024-04-02,Channel_C
V1095,FoodieHub,Gaming,2024-03-07,Channel_A
V1096,MusicBeat,Technology,2024-05-23,Channel_D
V1097,FitnessPro,Education,2024-03-26,Channel_C
V1098,TechWorld,Music,2024-10-13,Channel_B
V1099,TechWorld,Music,2024-07-08,Channel_A
